"name","buoyancy","height","width","CD","code","source","originalName"
"shac-ring-shac",-0.75,0.3,0.025,1.3,1,"Dewey","shac-ring-shac"
"shac-3link-shac",-1,0.4,0.02,1.3,1,"Dewey","shac-3link-shac"
"1/2in SS link",-0.2,0.1,0.025,1.3,1,"Dewey","1/2 SS link"
"1/2in galv link",-0.2,0.1,0.025,1.3,1,"Dewey","1/2 galv link"
"1/2in shackle",-0.3,0.08,0.025,1.3,1,"Dewey","1/2 shackle"
"3/8in shackle",-0.125,0.04,0.025,1.3,1,"Dewey","3/8 shackle"
"5/8in shackle",-0.65,0.065,0.05,1.3,1,"Dewey","5/8 shackle"
"1in shackle",-2.2,0.08,0.03,1.3,1,"Dewey","1"" shackle"
"1/2in swivel",-0.65,0.14,0.05,1.3,1,"Dewey","1/2 swivel"
"3/4in swivel",-1.5,0.14,0.04,1.3,1,"Dewey","3/4 swivel"
"1/2in shac+3/8in shac",-0.425,0.12,0.025,1.3,1,"Dewey","1/2 shac+3/8shac"
"3T SeineSwivel",-0.65,0.105,0.04,1.3,1,"Dewey","3T SeineSwivel"
"3/4in shackle",-0.88,0.06,0.025,1.3,1,"Dewey","3/4"" shackle"
"shac-Pring-shac",-0.5,0.2,0.02,1.3,1,"Dewey","shac-Pring-shac"
