"name","buoyancy","length","cylinderWidth","sphereDiameter","CD","unknown"
"61in ORE",999,165,0,165,0.65,1
"48in ORE",620,123.4,0,123.4,0.65,1
"41in ORE",433,104,0,104,0.65,1
"37in ORE",300,94,0,94,0.65,1
"28in ORE",133,71,0,71,0.65,1
"30in float",160,76,0,76,0.65,1
"Kiel SFS40in",320,100,0,100,0.65,1
"Torp. flt, 3-28",364,83,0,83,0.75,1
"17 in glass",23,57,0,57,0.95,1
"Billings-12in",10,34.3,0,34.3,0.95,1
"BENTHOS 17in",23,51,0,51,0.95,1
"16in Viny",19,40,0,40,0.6,1
"Double 17in",48,50,0,65,0.95,1
"Double 16inViny",38,50,0,60,0.6,1
"Trpl 16 in Viny",56,150,0,75,0.6,1
"Trpl 12in glass",30,95,0,62,1,1
"CDMS 1.2m sphere",682,120,0,120,0.5,1
"CDMS 2m sphere",2470,200,0,200,0.5,1
"54cm Alum CAP3",61,55,0,54,0.65,1
"54x30inClamShell",405,140,0,75,0.15,1
"Top of Tow Rope",0.01,0,0,0,0,1
"BPS Float",8000,150,600,0,1.6,1
"ADCP FloatTech",460,142,0,142,0.65,1
"FloatTech CF-12",11,30,20,0,1,1
"Tripple FT CF-12",33,90,20,0,1,1
"Geodyn 8' Toroid",1950,76.2,244,0,0.65,3
