"name","buoyancy","length_height","cylinder_width","sphere_diameter","CD","unknown"
"shac-ring-shac",-0.75,30,2.5,0,1.3,1
"shac-3link-shac",-1,40,2,0,1.3,1
"1/4 chain SL",-1.69,100,1.5,0,1.3,1
"3/8 chain SL",-2.33,100,2.2,0,1.3,1
"1/2 chain SL",-4.12,100,3,0,1.3,1
"1 chain SL",-13,100,4,0,1.3,1
"1/2 chain LL",-3.1,100,3,0,1.3,1
"1/2 SS link",-0.2,10,2.5,0,1.3,1
"1/2 galv link",-0.2,10,2.5,0,1.3,1
"1/2 shackle",-0.3,8,2.5,0,1.3,1
"3/8 shackle",-0.125,4,2.5,0,1.3,1
"5/8 shackle",-0.65,6.5,5,0,1.3,1
"1"" shackle",-2.2,8,3,0,1.3,1
"1/2 swivel",-0.65,14,5,0,1.3,1
"3/4 swivel",-1.5,14,4,0,1.3,1
"1/2 shac+3/8shac",-0.425,12,2.5,0,1.3,1
"3/8"" buoy chain",-1.677,100,2,0,1.3,1
"1/2"" buoy chain",-3.07,100,2.5,0,1.3,1
"5/8"" buoy chain",-4.73,100,3.5,0,1.3,1
"3/4"" buoy chain",-6.87,100,4,0,1.3,1
"1"" buoy chain",-12.25,100,5,0,1.3,1
"3T SeineSwivel",-0.65,10.5,4,0,1.3,1
"3/4"" shackle",-0.88,6,2.5,0,1.3,1
"shac-Pring-shac",-0.5,20,2,0,1.3,1
